"Lesson 5 Vocabulary " "The Esperanto Teacher (by Helen Fryer) http://www.gutenberg.org"
"letero" " letter"
"litero" " letter of alphabet"
"festo" " festival, holiday"
"tago" " day"
"nokto" " night"
"mateno" " morning"
"multaj" " many"
"obstina" " obstinate"
"ĝoja" " joyful, joyous"
"hela" " bright, clear"
"amas" " loves"
"vidas" " sees"
"konas" " knows"
"havas" " has, possesses"
"luno" " moon"
"stelo" " star"
"vintro" " winter"
"forno" " stove"
"edzino" " wife"
"pala" " pale"
"deziras" " desires, wishes"
"eraras" " errs, is wrong"
"vokas" " calls"
"hejtas" " heats"
"hodiaŭ" " to-day"
"malpli" " less"
"kiam" " when"
"kia" " what (kind)"
