"Lesson 1 Vocabulary"	"<a  href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"nulo"	"0"
"unu"	"1"
"du"	"2"
"tri"	"3"
"kvar"	"4"
"kvin"	"5"
"ses"	"6"
"sep"	"7"
"ok"	"8"
"naŭ"	"9"
"dek"	"10"
"dek unu"	"11"
"dek du"	"12"
"dek naŭ"	"19"
"dudek"	"20"
"dudek kvar"	"24"
"dudek ok"	"28"
"tridek"	"30"
"tridek du"	"32"
"tridek sep"	"37"
"kvardek"	"40"
"kvardek ses"	"46"
"kvindek kvin"	"55"
"okdek"	"80"
"naŭdek"	"90"
"cent"	"100"
"cent kvindek tri"	"153"
"ducent unu"	"201"
"tricent sepdek ok"	"378"
"naŭcent kvindek naŭ"	"959"
"mil"	"1,000"
"dekmil sescent kvindek du"	"10,652"
"miliono"	"million (10^6)"
"miliardo"	"billion (10^9)"
"biliono"	"trillion (10^12)"
"triliono"	"quintillion (10^18)"
"kvadriliono"	"10^24"
"kvintiliono"	"10^30"
"sekstiliono"	"10^36"
"septiliono"	"10^42"
"oktiliono"	"10^48"
"noniliono"	"10^54"
"deciliono"	"10^60"
"undeciliono"	"10^66"
"duodeciliono"	"10^72"
