"Lesson 1 Vocabulary" "The Esperanto Teacher (by Helen Fryer) http://www.gutenberg.org"
"patro" "noun     father"
"frato" "noun     brother"
"filo" "noun     son"
"Teodoro" "noun     Theodore"
"tajloro" "noun     tailor"
"leono" "noun     lion"
"besto" "noun     animal"
"kolombo" "noun     pigeon"
"birdo" "noun     bird"
"rozo" "noun     rose"
"floro" "noun     flower"
"pomo" "noun     apple"
"suno" "noun     Sun"
"tero" "noun     earth, ground"
"ŝtono" "noun     stone"
"ĉambro" "noun     room"
"fenestro" "noun     window"
"libro" "noun     book"
"krajono" "noun     pencil"
"plumo" "noun     pen"
"ĉapelo" "noun     hat"
"domo" "noun     house"
"arbo" "noun     tree"
"estas" "verb     is, are, am"
"apartenas" "verb     belongs"
"brilas" "verb     shines"
"kuŝas" "verb     lies"
"staras" "verb     stands"
"la" "art     the"
"kaj" "conj     and"
"jes" "     yes"
"ne" "     no,not"
"al" "     to, towards"
"sur" "     on"
"en" "     in"
"apud" "adj     by, near, beside"
"de" "     of, from"
"kie" "     where"
"kio" "     what thing"
"jen estas" "     here is "
"ĉu" "     whether (asks a question)"
"antaŭ" "adj     before, in front of"
