"Lesson 18 Vocabulary"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"boto"	"boot"
"ŝuo"	"shoe"
"maro"	"sea"
"meĥaniko"	"mechanics"
"ĥemio"	"chemistry"
"diplomato"	"diplomatist"
"fiziko"	"physics"
"scienco"	"science"
"dron-"	"be drowned, sink"
"verk-"	"work mentally, write, compose"
"transskrib-"	"transcribe, copy"
"kuir-"	"cook"
"veturig-"	"drive (a carriage, etc)."
"tromp-"	"deceive"
"okup-"	"occupy"
"employ"	"teks-"
"weave"	"diversa(j)"
"various"	"simple"
"simply"	"je"
"(indefinite meaning) [Lessons 26, 40.]"
