"Lesson 4 Phrase " "<a  href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Mi legas. " "I read. (I am reading)."
"Vi skribas. " "You write. (You (sing,. pl.) are writing.)"
"Li estas knabo, kaj ŝi estas knabino. " "He is a boy and she is a girl."
"Ni estas homoj. " "We are humans beings (men)."
"Vi estas infanoj. " "You (pl.) are children."
"Ili estas rusoj. " "They are Russian."
"Kie estas la knaboj? Ili estas en la ĝardeno, " "Where are the boys? They are in the garden."
"Kie estas la knabinoj? Ili ankaŭ estas en la ĝardeno. " "Where are the girls? They are also in the garden."
"Kie estas la tranĉiloj? Ili kuŝas sur la tablo. " "Where are the knives? They are lying (on) the table."
"La infano ploras, ĉar ĝi volas manĝi. " "The infant is crying, because it wants to eat."
"Sinjoro, ci estas neĝentila. " "Sir, you (sing.) are not polite."
"Sinjoroj, vi estas neĝentilaj. " "Sirs, you (pl.) are not polite."
"Oni diras; ke la vero ĉiam venkas. " "They say that the truth always conquers."
"La domo apartenas al li. " "The house belongs to him."
"Mi venas de la avo, kaj mi iras nun al la onklo. " "I am coming from the grandfather and I am going now to the uncle."
"Mi estas tiel forta, kiel vi. " "I am as strong as you."
"Nun mi legas, vi legas, kaj li legas, ni ĉiuj legas. " "Now I am reading, you are reading, and he is reading, we are all reading."
"Vi skribas, kaj la infanoj skribas, ili (vi) ĉiuj sidas silente kaj skribas." "You (pl.) are writing and the infants are writing, they (you) are all silently sitting and writing."
"Mia hundo, vi estas tre fidela. " "My dog, you are very faithful."
"Li estas mia onklo, ĉar mia patro estas lia frato. " "He is my uncle, because my father is his brother."
"El ĉiuj miaj infanoj, Ernesto estas la plej juna. " "Out of all my children, Ernesto is the youngest."
"Lia patro kaj liaj fratoj estas en la ĝardeno. ŝia onklo estas en la domo. " "His father and his brothers are in the garden, his uncle is in the house."
"Kie estas viaj libroj? Niaj libroj kuŝas sur la tablo; iliaj krajonoj kaj ilia papero ankaŭ kuŝas sur la tablo." "Where are your (pl.) books? Our books are (lying) on the table, their pencils and their paper also are (lying) on the table."
"Kiu estas en la ĉambro? " "Who is in the room?"
"Kiuj estas en la ĉambro? " "Who are in the room?"
"La sinjoro, kiu legas, estas mia amiko. " "The gentleman who is reading, is my uncle."
"La sinjoro, al kiu vi skribas, estas tajloro. " "The genetleman to whom you are writing is a tailor."
"Kio kuŝas sur la tablo?" "What is (lying) on the table?"
